time,type,asset,quantity,gas,chain,id,katanaTxId,katanaTxStatus,vaultName,vaultManagerAddress
2026-02-09T18:43:38.264Z,withdrawal,USDC,2.00000000,1.63755812,stargate.arbitrum,3f497900-05e7-11f1-9bf9-35c7f2b50773,0xcbc1131dc59bf6665cd45af8ded7b6dffaf6063250788428014dabf20ab61831,mined,,
2026-02-09T18:49:56.011Z,deposit,USDC,2.00000000,,stargate.ethereum,20724fb0-05e8-11f1-8b07-574a1a9abcf5,0x6d8c6785f808bdb47a13ead17316754f09f54512632335d977535b12d7213a08,,,
2026-02-09T19:59:58.012Z,deposit,USDC,1.00000000,,stargate.ethereum,e908a0b0-05f1-11f1-8b07-574a1a9abcf5,0xb71047d5a9470b7cb843803650366bb3f84e216f94612f142e32ee7921f9e3e5,,,
2026-02-09T20:00:40.007Z,deposit,USDC,1.00000000,,stargate.ethereum,0210b570-05f2-11f1-8b07-574a1a9abcf5,0xe7c0e6e6de5bb9cac0e2d18cef397a303a5c57818f69487c9abb9a10072e39a0,,,
2026-02-12T22:17:03.496Z,withdrawal,USDC,5.00000000,0.05000000,katana.katana,8f0a1000-0860-11f1-9157-73f94ae9c337,0x6922c5cfc0a2798d52f739a4a81e3be5a14b3c20baea498fa9e4e8e636819f26,mined,,
2026-02-12T22:17:10.410Z,withdrawal,USDC,5.00000000,0.70231198,stargate.arbitrum,932871e0-0860-11f1-b84e-5d46c39f3f6b,0x23f03c3e54b5f8c7af6bbbbacb1904f4c2089679830ff2c8581eaf07c3554d77,mined,,
2026-02-12T22:18:39.352Z,withdrawal,USDC,10.00000000,0.05000000,katana.katana,c82c8700-0860-11f1-b84f-6745e1e86959,0xd2e3892103eac9c2986724f66a98c2a906e6cd8687a7b3b3b3ad9c3fc2c1d52c,mined,,
2026-02-18T21:48:10.037Z,deposit,USDC,2.00000000,,katana.katana,844ca030-0d13-11f1-a629-5d56071d6f28,0xbf6285c692e1f8b31569de83a24c54be27437d62a1b9afbd0f7f99245261f14b,,,
2026-03-13T19:19:00.024Z,deposit,USDC,5.00000000,,stargate.ethereum,7d2d4560-1f11-11f1-9f6d-5dd3d845c2f6,0x200193dcf88135faeebae0c92f74d6a89f64dcf05182fa121b1fbc6c6b27a065,,,
2026-03-13T19:20:18.008Z,deposit,USDC,5.00000000,,stargate.ethereum,aba8fd80-1f11-11f1-9f6d-5dd3d845c2f6,0x84ef01d37093f170ba5cc742184ce4199c48a9803ca3838f3fd0e6cc2409b5ee,,,
2026-03-13T20:30:30.673Z,withdrawal,USDC,1.00000000,0.54416860,stargate.ethereum,7a98fa60-1f1b-11f1-b219-8d99dc2fe14d,0xa8d2f828a66ad74538315e97a92878d1434eb439f997928b5671ddfc5d1565ca,mined,,
2026-03-13T20:30:36.120Z,withdrawal,USDC,1.00000000,0.05000000,katana.katana,7dd8bc10-1f1b-11f1-8b62-cde361832403,0xe53a71e1d83e51eb28c083f0e91b5ecb59f06e16418175a28a86d66f3137f6d4,mined,,
